aX,aY,aZ
-0.4443359375, 0.21044921875, 1.97802734375
-0.47412109375, 0.3251953125, 2.16162109375
-0.47412109375, 0.3251953125, 2.16162109375
-0.52099609375, 0.34619140625, 2.224609375
-0.47705078125, 0.3642578125, 2.09521484375
-0.43994140625, 0.20703125, 1.4365234375
-0.43994140625, 0.20703125, 1.4365234375
-0.47705078125, 0.0888671875, 1.1376953125
-0.4228515625, 0.07470703125, 0.6748046875
-0.32666015625, 0.10546875, 0.50244140625
-0.1318359375, -0.30078125, 0.1025390625
-0.1318359375, -0.30078125, 0.1025390625
0.0693359375, -0.298828125, 0.0234375
0.2294921875, -0.30029296875, -0.20068359375
0.29736328125, -0.33203125, -0.38623046875
0.29736328125, -0.33203125, -0.38623046875
0.1337890625, -0.4052734375, -0.4755859375
0.10546875, -0.7255859375, -0.77392578125
0.2451171875, -0.78857421875, -0.900390625
0.328125, -0.7666015625, -1.0185546875
0.328125, -0.7666015625, -1.0185546875
0.29345703125, -0.6884765625, -0.958984375
0.23388671875, -0.6474609375, -0.81640625
0.18896484375, -0.73828125, -0.861328125
0.18896484375, -0.73828125, -0.861328125
0.26513671875, -0.86376953125, -0.93212890625
0.29443359375, -0.8203125, -0.76806640625
0.2841796875, -0.78564453125, -0.66015625
0.3017578125, -0.77099609375, -0.4931640625
0.3017578125, -0.77099609375, -0.4931640625
0.328125, -0.798828125, -0.43408203125
0.3671875, -0.833984375, -0.4169921875
0.37109375, -0.91552734375, -0.4326171875
0.37109375, -0.91552734375, -0.4326171875
0.37451171875, -0.9775390625, -0.44677734375
0.396484375, -0.94287109375, -0.36572265625
0.4140625, -0.931640625, -0.40771484375
0.4140625, -0.931640625, -0.40771484375
0.40625, -0.94775390625, -0.46142578125
0.3720703125, -0.9384765625, -0.46923828125
0.30712890625, -0.90478515625, -0.35791015625
0.3037109375, -0.8115234375, -0.28369140625
0.36474609375, -0.75244140625, -0.23583984375
0.36474609375, -0.75244140625, -0.23583984375
0.41845703125, -0.79345703125, -0.287109375
0.38720703125, -0.72412109375, -0.17822265625
0.3642578125, -0.66845703125, -0.07421875
0.3642578125, -0.66845703125, -0.07421875
0.44677734375, -0.52734375, 0.083984375
0.5166015625, -0.482421875, 0.18896484375
0.51171875, -0.453125, 0.236328125
0.51171875, -0.453125, 0.236328125
0.431640625, -0.42578125, 0.404296875
0.419921875, -0.408203125, 0.47216796875
0.41064453125, -0.376953125, 0.68310546875
0.45849609375, -0.3427734375, 0.7333984375
0.45849609375, -0.3427734375, 0.7333984375
0.48291015625, -0.27587890625, 0.732421875
0.447265625, -0.25244140625, 0.7060546875
0.4326171875, -0.1962890625, 0.80810546875
0.4326171875, -0.1962890625, 0.80810546875
0.46484375, -0.080078125, 1.046875
0.41455078125, -0.07568359375, 1.11572265625
0.28515625, -0.1787109375, 1.189453125
0.2177734375, -0.173828125, 1.18896484375
0.2177734375, -0.173828125, 1.18896484375
0.08349609375, -0.13134765625, 1.2265625
0.05419921875, -0.10595703125, 1.28271484375
0.05029296875, -0.1298828125, 1.37744140625
0.05029296875, -0.1298828125, 1.37744140625
0.0048828125, -0.16064453125, 1.35205078125
-0.04833984375, -0.2236328125, 1.2744140625
-0.052734375, -0.212890625, 1.22021484375
-0.07421875, -0.19873046875, 1.17822265625
-0.07421875, -0.19873046875, 1.17822265625
-0.08447265625, -0.232421875, 1.1484375
-0.09619140625, -0.2509765625, 1.07470703125
-0.119140625, -0.302734375, 1.0537109375
-0.119140625, -0.302734375, 1.0537109375
-0.08349609375, -0.2900390625, 1.09912109375
-0.03759765625, -0.298828125, 1.03466796875
-0.044921875, -0.3271484375, 1.015625
-0.005859375, -0.296875, 1.02880859375
-0.005859375, -0.296875, 1.02880859375
0.01708984375, -0.279296875, 1.0400390625
0.01904296875, -0.28369140625, 0.95751953125
0.01025390625, -0.34814453125, 0.91455078125
0.01025390625, -0.34814453125, 0.91455078125
0.01904296875, -0.3291015625, 0.94775390625
0.06787109375, -0.28857421875, 0.9921875
0.08544921875, -0.28759765625, 0.9599609375
0.08544921875, -0.30078125, 0.9619140625
0.08544921875, -0.30078125, 0.9619140625
0.08251953125, -0.27685546875, 0.96484375
0.11572265625, -0.2529296875, 0.9638671875
0.11669921875, -0.23779296875, 0.9794921875
0.11669921875, -0.23779296875, 0.9794921875
